company,details,slide_type,description,use_case,industry,tags,image_link,image_id
McKinsey ,McKinsey Technology Trends Outlook 2022 Advanced Connectivity,Header Vertical,"A three-column comparison of optical fiber, LPWAN, Wi-Fi 6, and 5G/6G cellular, contrasting current and previous generations.",Technology and Digital Transformation,Technology & Software,"['List', 'Table', 'Subtitle']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d34b8c5120208b9f2e7_idQMhp_PEPxJBc_p6LXr5URyJ4CFGslRpnxV48hUk_M.avif,slide-12.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Advanced Connectivity,Header Vertical,Utilizes icons and text to illustrate the potential disruptions in various industries due to advanced connectivity.,Market Analysis and Trends,Telecommunications,"['List', 'Icon', 'Table', 'Subtitle']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d3bd46d117b05e36cc8_oTh8XiXp8rAf7usYEp7YMi-XvneV3Du4Y5AuLeiEEYo.avif,slide-13.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Advanced Connectivity,Header Vertical,"Continues the list of industries with circular icons, exploring further impacts of connectivity trends.",Technology and Digital Transformation,Telecommunications,"['Bullet points', 'List', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d42339c4cdc24803a6f_iymhAIWwQRAvRDnC7b-5AbhQUqRcWpxIobyKrSRPOHc.avif,slide-14.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Advanced Connectivity,Boxed,"Two-side layout separating benefits and risks of connectivity, accompanied by relevant symbols.",Strategic Planning,Professional Services,"['List', 'Icon', 'Table', 'Subtitle']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d4ac898a120904a17ef_6NJni2-1lH7oPiHSQ5Em1r0v470l7a5KO7vv5kXxEaA.avif,slide-15.jpg
EY ,"With the market in flux, how can your IPO journey stay the course?",Multiple Chart,The slide features column charts and tables comparing IPO performance in main and junior markets within EMEIA. It includes performance metrics and cross-border activity data.,Market Analysis and Trends,Financial Services,"['Table', 'Column Chart', 'Line Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb09cccff7a3ee65ab8e_EuZObzIijeIjTyvHXYLzjQyWnxW6M1RjibtHPAnfHm8.avif,slide-16.jpg
EY ,"With the market in flux, how can your IPO journey stay the course?",Multiple Chart,"The slide includes column charts and tables summarizing IPO activities in European main and junior markets. It shows number of IPOs, proceeds, and details on stock exchanges and sectors.",Market Analysis and Trends,Financial Services,"['Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb0d26cce81eb22a4f69_W3M_XvjZtiXZRaVbOQYlX86wpnavkiI5YdsjCJ425ME.avif,slide-17.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Advanced Connectivity,Header Vertical,"Structured with bullet points, the slide presents debated topics regarding the implementation of connectivity.",Market Analysis and Trends,Telecommunications,"['Bullet points', 'List', 'Subtitle']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d60c5aaa37cc45bb221_FjTDgX0WDg8kHvi1Z9EpG_nq0cowr_q3QopeNc4_bbU.avif,slide-18.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Advanced Connectivity,Uncategorized,"List of additional resources and readings related to advanced connectivity, providing further knowledge exploration.",Technology and Digital Transformation,Professional Services,['List'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d688096e2301cdd9cd1_nm-2UFkMsch9GkUFq75HeXongJcMysfwsbeoiOyI-6U.avif,slide-19.jpg
EY ,"With the market in flux, how can your IPO journey stay the course?",Multiple Chart,"This slide presents tables ranking global stock exchanges by number of IPOs and proceeds, highlighting the performance of Asian and US exchanges.",Market Analysis and Trends,Financial Services,['Bar chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb2d6ffa6eaada27c4be_Ne9sHXZmyRaus1hPULzganWy8Niq8r5yLgmWnCbtQEI.avif,slide-20.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Applied AI,Header Horizontal,The slide features a robotic hand reaching towards textual content against a dark blue background. It includes a two-column layout with selected AI technologies and use cases. Icons are used to represent different concepts like machine learning and risk management.,Industry Overview,Technology & Software,"['Bullet points', 'Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d795222d7e7065c38e3_pDZOKJlazvYyCb0mNvwFUIk3wFI4hjLBOzYNrkGq3h4.avif,slide-21.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Applied AI,Single Chart,"A data-centric slide with multiple bar graphs showing the adoption of AI across various geographies. Accompanied by icons and statistics on AI expansion, implementation ease, and innovation growth.",Financial Performance,Technology & Software,"['Icon', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d81a8567ee05436b7b4_KAy6rHZsAxVY6sTeLziYzyBx3R5Y7MDo1Z5ry_W6Sv8.avif,slide-22.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Applied AI,Multiple Chart,"A continuation from the previous slide, with pie charts and bar graphs illustrating potential financial value from AI and its correlation with financial performance.",Financial Performance,Technology & Software,"['Scatter Plot', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d881f55dc6488f333c1_aCAYud7qeGa-82caabHAPAz5413bHMTjjHxq-7A6fiM.avif,slide-23.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Applied AI,Multiple Chart,"Utilizes horizontal bar graphs and percentage figures to show the impact of AI on business functions, such as revenue increase and cost decrease.",Financial Performance,Technology & Software,"['Table', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d8ffe030b8a462266bb_E8edAfVAqz5xiVmaPUnpQtbuWHudVn7qI-sHQxTr90M.avif,slide-24.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Applied AI,Mixed Chart,"This slide contains a circular diagram centering on artificial intelligence, branching out to subfields like machine learning and NLP, complemented by descriptions and use cases.",Technology and Digital Transformation,Technology & Software,"['List', 'Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d98be6b852d3afc581f_x0QF_6vXWYxavBwMffniPsxKlXbEWigOAN4KbgKH1IE.avif,slide-25.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Applied AI,Single Chart,"Features a comprehensive table showing the percentage of AI adoption by industry and function, highlighted with color gradients for visual distinction.",Market Analysis and Trends,Technology & Software,"['Heatmap', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d9f3279b6513366b30b_Vukl8IkEiDmW_QmvQFbFZURSfNI3VioDIkWHnqbsRwc.avif,slide-26.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Applied AI,Header Vertical,"An informative slide with a mix of icons, text descriptions, and bullet points, categorizing industries affected by AI and their specific impacts.",Industry Overview,Technology & Software,"['List', 'Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026da7bc86de4002de2449_Lk1-su0NmhWOfNFhqwDrUZeyWON54TG8FRZQFcfbA-M.avif,slide-27.jpg
EY ,"If every energy transition is different, which course will accelerate yours?",Multiple Chart,"The slide features text describing advancements in technology, accompanied by a graphic on renewable power generation costs and a statistic on consumer behavior.",Technology and Digital Transformation,Technology & Software,"['Line Chart', 'Pie Chart', 'Takeaway Box', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb30df45a749a6921e17_u-MIxt9IzkaFkfpRevb5Q0_gFjdC_qIZrw1wqVq3u3A.avif,slide-28.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Applied AI,Header Vertical,"A concise visual slide outlining various AI use cases, relevant technologies, functions, and industries, paired with benefits highlighted in a box.",Technology and Digital Transformation,Technology & Software,"['List', 'Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026db5e02c3ae6c4c38ba0_av4OiHLZq9REtrtK41c9_nUD06DghX14x22M8AGhujA.avif,slide-29.jpg
EY ,"If every energy transition is different, which course will accelerate yours?",Multiple Chart,"This slide includes text on energy transitions, along with a graphic showing global final energy demand projections by fuel type and region.",Market Analysis and Trends,Energy & Utilities,"['Pie Chart', 'Takeaway Box', 'Paragraph', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb344f20d86904177272_u9k__yhP0tjLAaLdq8Ot74z4T541-KPe4aOCFsvDQps.avif,slide-30.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Applied AI,Header Vertical,"The slide presents a dark background with text and icons. Four numbered points highlight key debate topics with accompanying icons representing trustworthiness, explainability, application prioritization, and other risks related to AI.",Risk Assessment and Management,Technology & Software,"['Picture', 'Bullet points', 'List', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026dc455b7110793f43be0_7adm-Iz319tcylHBViSl_IEiQ5jyltTCG7EwNCm4bfQ.avif,slide-31.jpg
EY ,"If every energy transition is different, which course will accelerate yours?",Multiple Chart,"The slide features a set of scatter plots comparing technology adoption rates across different regions (US, Europe, China, South Asia, Rest of the World, Global). Each scatter plot displays data for Solar, Wind, Nuclear, Coal, and Gas technologies for the years 2025 and 2050.",Market Analysis and Trends,Energy & Utilities,"['Line Chart', 'Takeaway Box', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb37cccff7a3ee65dece_XaQDN1VMAA0P5vIbbEleEfMkiUVGD9qFGM8B2weHR_o.avif,slide-32.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Cloud and edge computing,Title,"This title slide showcases a sophisticated design with geometric cloud and edge computing icons over a dark blue background, emphasizing the topic of cloud and edge computing for the year 2022.",Technology and Digital Transformation,Technology & Software,['Picture'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026dd2e05185919bb60727_PXBCtMs1hun55uFAYGA0p0oDRDgL1TlJOREa7Y1COGI.avif,slide-33.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Cloud and edge computing,Header Horizontal,"A visually engaging slide presenting a variety of computing methods like device edge, remote edge, and hybrid cloud, illustrated with relevant icons and diagrams, all on a sleek dark background.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026dda65b77e72012c99d8_tPyS0dC7-L9AFe8UCz2MIvpWPWpBfZkZroZRE161yQg.avif,slide-34.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Cloud and edge computing,Pillar,"A slide with a blend of icons and text, displayed on a dark background. Icons represent financial opportunity, hybrid cloud strategy, market growth, and security concerns, underscoring the slide's strategic message to leaders.",Technology and Digital Transformation,Technology & Software,['Picture'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026de1be6b852d3afcb8a9_eVnCzjFujvznNf6u4BxSpU59KXMD-VoxPmB912cWDoc.avif,slide-35.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Cloud and edge computing,Pillar,"Continuation from the previous slide, this one similarly employs a mix of informative icons and text to express key points about the operational necessity of edge computing, showcased against a dark backdrop.",Technology and Digital Transformation,Technology & Software,['Picture'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026de9447b698c67d2fb33_iPQoHv2xaGPmnJHVyIz9qGqBT_YKEJT7jEoUSDWicbE.avif,slide-36.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Cloud and edge computing,Diagram,The slide features comparative visuals of traditional and edge cloud computing models. Graphical elements and color coding effectively delineate different computational approaches against a dark theme.,Technology and Digital Transformation,Technology & Software,"['Icon', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026df0592c9552c050182c_LnxjlYOLIYoR9cFMtESAq-gcl1pslGj6d5kATRCFAjE.avif,slide-37.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Cloud and edge computing,Header Horizontal,"Text boxes and icons on a dark background describe potential disruptions in network services and the enablement of new services, painting a picture of the future landscape altered by edge computing.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026df7c898a120904af0fe_dLI5wTVCHDe_CsmrLNI3ED3Z4ZRm_hksjfOreHi9D-Q.avif,slide-38.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Cloud and edge computing,Boxed,"This slide is text-dominant with a straightforward layout on a dark background, directing leaders' focus to the benefits and uncertainties associated with engaging with edge computing trends.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e01abcd9096d1decd0e_B8SuOamab8v5gbCKVsa0sQPtkkOxfipfitwXWUtI8yE.avif,slide-39.jpg
EY ,"If every energy transition is different, which course will accelerate yours?",Multiple Chart,"The slide is divided into eight sections, each representing a different implication of the energy transition. Key statistics and icons are used to illustrate each implication, including renewable energy dominance, electrification, localized energy systems, and increased investment.",Strategic Planning,Energy & Utilities,"['Pie Chart', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb3ab32d759e346a9b6b_oJDylXQXgHxxBDaX6IVPSW0keOYX1w4R_HZFHrq_C2o.avif,slide-40.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Cloud and edge computing,Header Vertical,"The slide has a two-column layout with industry icons on the left and text explanations on the right, against a white background with a title at the top.",Technology and Digital Transformation,Technology & Software,"['List', 'Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e0f84c8c0c91ef2bb8a_TmUS3txSOKfUBfAa_ucKw0GU_RDKBZoATm85koKNVmI.avif,slide-41.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Cloud and edge computing,Header Vertical,Three sections with photos and text describing the case examples in the context of cloud and edge computing's impact on different industries.,Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e18bc5b124140fe5f01_fFaGk1d0yMiYGOIyRG33vPJZfPH47Rdc9dQeKIw8v0A.avif,slide-42.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Cloud and edge computing,Header Vertical,"A central cloud image with connected icons and text bubbles, facilitating a structured debate on cloud and edge computing.",Technology and Digital Transformation,Technology & Software,"['Picture', 'Bullet points', 'Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e1fd78463c45069c838_7Y40PBUK2jnNgGiujBlcUcYFc6ECJkXAROKyRk0ekKc.avif,slide-43.jpg
EY ,"If every energy transition is different, which course will accelerate yours?",Mixed Chart,"The slide includes a column chart showing the change in global electricity generation mix (TWh) from 2022 to 2050, with projections for Coal, Gas, Solar, Wind, Hydro, Nuclear, and Others. It also has a textual highlight indicating a fivefold increase in renewable capacity by 2050.",Market Analysis and Trends,Energy & Utilities,"['Takeaway Box', 'Column Chart', 'Graphic']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb3ed5b4510ef5ffcdfc_XzCP9tbAeevttoTuFOdiVMjVNm2Nud-riffVNPp0zLw.avif,slide-44.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Title,"Features a prominent image of a person using VR equipment, with the report's title and release date.",Technology and Digital Transformation,Technology & Software,['Picture'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e2e423caa7eac0fd710_VzJJO_uOlujaMyoZEVlHqYBvbNjesoBi1RV7bbmxBbQ.avif,slide-45.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Header Horizontal,Detailed illustrations and descriptions of various immersive-reality technologies such as AR and VR.,Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e36e05185919bb672ce_N_GrM8DbbVPq-3yWLxZyHArwAx7hEwpv8185EM6fSsE.avif,slide-46.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Header Horizontal,Provides examples and explanations of how immersive-reality technology is applied across different themes.,Technology and Digital Transformation,Technology & Software,['Icon'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e3ecc061fa559ae42a9_OQSzTLPr0Yi1HdytsPXUPar_r6czz827cEmMcZyJMaw.avif,slide-47.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Header Horizontal,"Includes infographics and bullet points, detailing reasons why immersive-reality technologies are significant for business leaders.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e45423caa7eac1001f8_GvVsxw2Dqb__OO2_BgNhy2FM81xldfSiyIENzmpyoV4.avif,slide-48.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Boxed,"Compares AR and VR technologies, discussing current status and future requirements.",Technology and Digital Transformation,Technology & Software,"['Bullet points', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e4c95e5098fcc0cb98a_E_2Pz6fluuJvRrwgpfXus1hsITHZBvkPJag_XCNyGSE.avif,slide-49.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Header Vertical,"Depicts various types of sensors and input devices required for immersive-reality technologies, accompanied by descriptive text.",Technology and Digital Transformation,Technology & Software,"['Picture', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e559f0b244d491e2741_ml3kxCx2Erx8Vl8xmoCWkN0QLml_lYDTn6xZXP4XV-c.avif,slide-50.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Header Vertical,"Three-column layout comparing AR/VR impact over time, with isometric graphics of AR and VR, and a maturity level bar.",Market Analysis and Trends,Technology & Software,['Icon'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e683d4fb3470e5689af_ERFOiY5RKnBCAiUhQmGxJH0BHK2SB02qr8ZDHj7wLXU.avif,slide-51.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Graphic,"Graphical representation of deskless workers in various industries, icons for each sector, and a high-impact indicator.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Graphic']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e70e08f3e2c4bc6f8ee_RIe26o8GjUmB7mo5hhniJccCzAmCnyo3yg5kipVcpzY.avif,slide-52.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Header Horizontal,"Tabular comparison of industry use cases for immersive tech, accompanied by relevant isometric illustrations.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e779481426ba02f54a2_DiXaiZdWW_8r7WmIRFbuC5OA4mzWCcKIhrAlXrDQaQQ.avif,slide-53.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Pillar,"Images depicting industry applications of immersive tech, with short text descriptions underneath.",Technology and Digital Transformation,Technology & Software,['Icon'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e7f345eb04bf17dab31_NkkHnre4Ev4G9OteUzHJC_QAW82APiRBDGjWlhIbhyg.avif,slide-54.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Header Vertical,"Logos and brief case studies of companies using AR in operations, including icons representing each industry.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e86a8200cb5a18bffbf_ReIDbZfD9hfBPW4KQQdjOihYby6nkdbujkmXokIkhio.avif,slide-55.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Boxed,"Illustrations of benefits and risks with corresponding bullet points, scales icon indicating balance.",Strategic Planning,Technology & Software,['Icon'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e8ea3289a9a6fc683a5_0pP2DDtyJYhvSmSOY9d7iVvxpS6eplhlThry3DJW0Yw.avif,slide-56.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Immersive-reality technologies,Header Vertical,"Bullet points addressing key debates about immersive tech, with a background graphic symbolizing connectivity.",Strategic Planning,Technology & Software,"['Icon', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026e967326fc4ac175b673_65cc3Jdfm24gjnXqPoxuW9iSbyVG3_9yLg-umk1K2P0.avif,slide-57.jpg
EY ,"If every energy transition is different, which course will accelerate yours?",Mixed Chart,The slide features a line chart comparing the share of nonrenewables and renewables in global power generation from 2000 to 2050. Additional information about accelerators and risks associated with this transition is provided on the side.,Market Analysis and Trends,Energy & Utilities,"['Line Chart', 'Takeaway Box', 'Graphic', 'Bullet points']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb41c47fd381609e5124_9ypBITbYpID-5k1tfhXttz6A6VZUfC7vbunnBQoQ3zI.avif,slide-58.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Industrializing machine learning,Title,"Cover slide with title, McKinsey logo, and abstract tech design elements, featuring a tablet displaying graphs.",Industry Overview,Technology & Software,['Graphic'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026ea5f4971ffbd4998f99_pDVurXZT6EyblVIFaky0GIaWKx-HIzW-iLTAyW5yy7I.avif,slide-59.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Industrializing machine learning,Linear Flow,"Diagram of ML workflow, future progression circular graphic, and side notes explaining the model deployment into production.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Bullet points', 'Chevron']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026ead26f56105c948804e_Ze94qmW-F8wF2qNNMYIuRze_M-ElWUs8aS1VmHL_-CQ.avif,slide-60.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Industrializing machine learning,Text Only,"Features split design with icons: potential of AI on the left, challenges of AI adoption on the right.",Technology and Digital Transformation,Technology & Software,"['Icon', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026eb59481426ba02f946b_4tH1uDff0F2pdeNJDBErs8bSyG0WUbI7UxyAKMGclmU.avif,slide-61.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Industrializing machine learning,Header Vertical,"Continuation of the previous slide, with value levers on the left and impact potential within 1 year on the right.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026ebda3289a9a6fc6b5d9_cyAcGX6j-K3gBPzHDnjEmwIgcvMpuuswjYGc9cXESY8.avif,slide-62.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Industrializing machine learning,Vertical Flow,"Comparison of outdated ML workflow elements on the left (""From"") with the new approach on the right (""To"").",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table', 'Chevron']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026ec5339c4cdc24821af6_MlehTm-kUQ2JSWtayJhAyHgfU3lsokMuYdzUbA5_YQ8.avif,slide-63.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Industrializing machine learning,Linear Flow,Outlines ML sub-processes and examples of technology solutions within each stage of the ML workflow.,Technology and Digital Transformation,Technology & Software,"['Icon', 'Table', 'Bullet points', 'Chevron']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026ecd65b77e72012dbe57_etyXQ5MgOI8N2aG6DF525_1H8_gMrUOyJMYofHMEFA0.avif,slide-64.jpg
